"MODEL","pp","psoe","piu","cs","erc","dl","pnv","bil","cc","PROV","SEATS","TIME","PERCENT"
174,610,16,4,4,0,0,36,0,30,"total",0,"2016-06-26 22:46:47",92.99
1,350,0,0,0,0,0,0,0,0,"Espana",350,"2016-06-26 22:46:47",92.99
1,5,0,0,0,0,0,0,0,0,"jaen",5,"2016-06-26 22:46:47",95.06
1,10,0,0,0,0,0,0,0,0,"murcia",10,"2016-06-26 22:46:47",97.61
1,8,0,0,0,0,0,0,0,0,"asturias",8,"2016-06-26 22:46:47",98.09
1,3,0,0,0,0,0,0,0,0,"huesca",3,"2016-06-26 22:46:47",99.18
1,6,0,0,0,0,0,0,0,0,"tarragona",6,"2016-06-26 22:46:47",95.3
1,5,0,0,0,0,0,0,0,0,"cantabria",5,"2016-06-26 22:46:47",93.62
1,3,0,0,0,0,0,0,0,0,"guadalajara",3,"2016-06-26 22:46:47",91.2
1,4,0,0,0,0,0,0,0,0,"la rioja",4,"2016-06-26 22:46:47",99.13
1,7,0,0,0,0,0,0,0,0,"pontevedra",7,"2016-06-26 22:46:47",93.04
1,4,0,0,0,0,0,0,0,0,"lleida",4,"2016-06-26 22:46:47",95.44
1,0,0,0,0,0,0,4,0,0,"araba - alava",4,"2016-06-26 22:14:18",99.79
1,4,0,0,0,0,0,0,0,0,"leon",4,"2016-06-26 22:46:47",97.12
1,5,0,0,0,0,0,0,0,0,"ciudad real",5,"2016-06-26 22:46:47",99.83
1,3,0,0,0,0,0,0,0,0,"cuenca",3,"2016-06-26 22:46:47",96.3
1,1,0,0,0,0,0,0,0,0,"melilla",1,"2016-06-26 22:46:47",79.15
1,16,0,0,0,0,0,0,0,0,"valencia - valència",16,"2016-06-26 22:46:47",97.11
1,8,0,0,0,0,0,0,0,0,"baleares",8,"2016-06-26 22:46:47",97.52
1,4,0,0,0,0,0,0,0,0,"lugo",4,"2016-06-26 22:46:47",96.39
1,6,0,0,0,0,0,0,0,0,"badajoz",6,"2016-06-26 22:46:47",94.68
1,5,0,0,0,0,0,0,0,0,"navarra",5,"2016-06-26 22:46:47",98.94
1,3,0,0,0,0,0,0,0,0,"avila",3,"2016-06-26 22:46:47",95.87
1,0,0,0,0,0,0,8,0,0,"bizkaia",8,"2016-06-26 22:46:47",99.28
1,2,1,0,0,0,0,0,0,0,"teruel",3,"2016-06-26 22:32:02",100
1,4,0,0,0,0,0,0,0,0,"salamanca",4,"2016-06-26 22:46:47",98.07
1,1,1,0,0,0,0,0,0,0,"soria",2,"2016-06-26 22:41:38",91.75
1,5,0,0,0,0,0,0,0,0,"castellon - castello",5,"2016-06-26 22:46:47",99.01
1,12,0,0,0,0,0,0,0,0,"alicante - alacant",12,"2016-06-26 22:46:47",98.74
1,4,0,0,0,0,0,0,0,0,"albacete",4,"2016-06-26 22:46:47",96.4
1,6,0,0,0,0,0,0,0,0,"girona",6,"2016-06-26 22:46:47",96.88
1,4,0,0,0,0,0,0,0,0,"ourense",4,"2016-06-26 22:46:47",93.02
1,3,3,2,1,0,0,0,0,0,"cadiz",9,"2016-06-26 22:46:46",94.78
1,7,0,0,0,0,0,0,0,0,"granada",7,"2016-06-26 22:46:47",95.53
1,3,0,0,0,0,0,0,0,0,"segovia",3,"2016-06-26 22:46:47",96.84
1,0,0,0,0,0,0,6,0,0,"gipuzkoa",6,"2016-06-26 22:46:47",99.14
1,3,0,0,0,0,0,0,0,0,"zamora",3,"2016-06-26 22:46:47",96.96
1,2,1,0,0,0,0,0,0,0,"palencia",3,"2016-06-26 22:41:38",98.68
1,1,0,0,0,0,0,0,0,0,"ceuta",1,"2016-06-26 22:43:55",94.02
1,31,0,0,0,0,0,0,0,0,"barcelona",31,"2016-06-26 22:46:47",92.24
1,6,0,0,0,0,0,0,0,0,"cordoba",6,"2016-06-26 22:46:47",93.7
1,0,0,0,0,0,0,0,0,8,"las palmas",8,"2016-06-26 22:46:47",77.76
1,36,0,0,0,0,0,0,0,0,"madrid",36,"2016-06-26 22:46:47",83.16
1,7,0,0,0,0,0,0,0,0,"zaragoza",7,"2016-06-26 22:46:47",98.31
1,11,0,0,0,0,0,0,0,0,"malaga",11,"2016-06-26 22:46:47",93.89
1,8,0,0,0,0,0,0,0,0,"a coruna",8,"2016-06-26 22:46:47",93.55
1,3,2,0,1,0,0,0,0,0,"almeria",6,"2016-06-26 22:46:46",95.59
1,12,0,0,0,0,0,0,0,0,"sevilla",12,"2016-06-26 22:46:47",91.29
1,6,0,0,0,0,0,0,0,0,"toledo",6,"2016-06-26 22:46:47",93.82
1,4,0,0,0,0,0,0,0,0,"burgos",4,"2016-06-26 22:46:47",97.53
1,0,0,0,0,0,0,0,0,7,"santa cruz de tenerife",7,"2016-06-26 22:46:47",72.01
1,5,0,0,0,0,0,0,0,0,"huelva",5,"2016-06-26 22:46:47",97.31
1,5,0,0,0,0,0,0,0,0,"valladolid",5,"2016-06-26 22:46:47",98.98
