prov,seats,progress,time,pp,psoe,piu,cs,erc,dl,pnv,bil,cc,bng
"España",350,100.0,"2015-12-21 03:49:16",28.72,22.01,20.66,13.93,0,2.25,1.2,0,0.33,0
"barcelona",31,99.94,"2015-12-21 00:50:56",11.27,16.27,26.91,13.55,0,13.25,0,0,0,0
"cantabria",5,100.0,"2015-12-21 00:24:09",36.94,22.42,17.84,15.25,0,0,0,0,0,0
"navarra",5,100.0,"2015-12-21 00:29:07",28.93,15.53,22.99,7.05,0,0,0,0,0,0
"avila",3,100.0,"2015-12-21 00:50:56",46.24,19.82,11.68,15.65,0,0,0,0,0,0
"lugo",4,99.76,"2015-12-21 00:50:56",42.49,24.0,19.26,7.61,0,0,0,0,0,0
"ciudad real",5,99.81,"2015-12-21 00:29:07",38.42,31.1,12.46,12.34,0,0,0,0,0,0
"madrid",36,99.53,"2015-12-21 00:50:56",33.45,17.88,20.86,18.79,0,0,0,0,0,0
"pontevedra",7,99.9,"2015-12-21 00:50:56",34.44,20.82,27.97,9.0,0,0,0,0,0,0
"melilla",1,100.0,"2015-12-21 00:21:16",43.93,24.59,11.44,15.55,0,0,0,0,0,0
"araba-alava",4,100.0,"2015-12-21 00:04:11",18.8,14.15,3.8,5.86,0,0,15.83,0,0,0
"valencia-valència",15,99.89,"2015-12-21 00:55:48",30.22,18.85,4.7,15.13,0,0,0,0,0,0
"cuenca",3,100.0,"2015-12-20 23:46:22",41.93,30.58,11.63,10.77,0,0,0,0,0,0
"zaragoza",7,100.0,"2015-12-21 00:04:11",30.31,22.3,19.2,17.81,0,0,0,0,0,0
"huesca",3,100.0,"2015-12-20 22:54:57",32.6,24.71,17.9,16.21,0,0,0,0,0,0
"burgos",4,100.0,"2015-12-21 00:34:59",38.08,20.71,17.05,15.54,0,0,0,0,0,0
"bizkaia",8,100.0,"2015-12-20 23:43:28",11.38,12.97,26.1,3.83,0,0,27.93,0,0,0
"gipuzkoa",6,100.0,"2015-12-20 23:46:22",8.69,13.31,25.27,3.72,0,0,23.51,0,0,0
"teruel",3,100.0,"2015-12-20 23:43:28",36.46,25.64,15.25,14.72,0,0,0,0,0,0
"tarragona",6,100.0,"2015-12-21 00:24:09",12.22,15.8,20.65,14.23,0,15.31,0,0,0,0
"palmas, las",8,99.48,"2015-12-21 00:50:56",28.2,22.4,26.42,12.28,0,0,0,0,4.23,0
"caceres",4,100.0,"2015-12-21 00:34:59",35.35,34.06,13.92,11.4,0,0,0,0,0,0
"cadiz",9,99.76,"2015-12-21 00:16:51",27.74,28.02,20.18,14.68,0,0,0,0,0,0
"alicante-alacant",12,100.0,"2015-12-21 00:12:57",32.85,20.86,3.69,17.05,0,0,0,0,0,0
"jaen",5,100.0,"2015-12-21 00:04:11",31.46,38.36,12.5,10.68,0,0,0,0,0,0
"ourense",4,100.0,"2015-12-21 00:21:16",44.91,23.2,17.84,7.87,0,0,0,0,0,0
