PROV;CCAA;PP;PSOE;PIU;CS;ERC;DL;PNV;BIL;CC;BNG;GB;OTRO;BLANCO
a coruna;galicia;36,6;19,2;25,7;10,6;0;0;0;0;0;4,5;0;2,1;1,1
alava;pais vasco;19,4;13,3;30,1;6,3;0;0;15,8;11,8;0;0;0;2;0,7
albacete;clm;38;26,5;17,6;15,6;0;0;0;0;0;0;0;1,7;0,7
alicante;cv;33,9;19,6;25,4;18,2;0;0;0;0;0;0;0;2,7;0,6
almeria;andalucia;39,2;27,2;16;15,3;0;0;0;0;0;0;0;1,8;0,7
asturias;asturias;31,1;21,9;29,1;14,5;0;0;0;0;0;0;0;2,4;0,9
avila;cyl;47,6;18,7;15,2;16,7;0;0;0;0;0;0;0;2,1;0,7
badajoz;extremadura;35,6;35;14,6;12,1;0;0;0;0;0;0;0;1,3;0,8
barcelona;catalunya;11,6;15,3;26,3;14,5;15,9;11,9;0;0;0;0;0;3,7;0,6
bizkaia;pais vasco;11,8;12,2;28,3;4,1;0;0;27,9;12,5;0;0;0;1,7;0,7
burgos;cyl;39,2;19,5;21,3;16,6;0;0;0;0;0;0;0;3;0,9
caceres;extremadura;36,4;32,1;16,5;12,2;0;0;0;0;0;0;0;1,8;0,6
cadiz;andalucia;28,6;26,4;25,6;15,7;0;0;0;0;0;0;0;2,3;1
cantabria;cantabria;38,1;21,1;21,8;16,3;0;0;0;0;0;0;0;2,3;0,8
castellon;cv;32,8;20,3;26,6;16,7;0;0;0;0;0;0;0;3,1;0,7
ceuta;-;46,3;21,8;15;14,2;0;0;0;0;0;0;0;2,1;1,3
ciudad real;clm;39,6;29,3;15,4;13,2;0;0;0;0;0;0;0;1,6;0,8
cordoba;andalucia;31,4;30,2;22,2;12,7;0;0;0;0;0;0;0;1,9;1
cuenca;clm;43,2;28,8;14,3;11,5;0;0;0;0;0;0;0;1,3;0,8
gipuzkoa;pais vasco;9;12,5;27,4;4;0;0;23,5;20,9;0;0;0;1,2;0,7
girona;catalunya;8,8;11,9;15,9;10,5;25,8;22,5;0;0;0;0;0;3,5;0,8
granada;andalucia;32,1;29,2;21;14,8;0;0;0;0;0;0;0;1,9;0,7
guadalajara;clm;35,9;21,2;21,1;19,3;0;0;0;0;0;0;0;2,3;0,7
huelva;andalucia;29,6;34,8;19,3;12,7;0;0;0;0;0;0;0;1,8;0,9
huesca;aragon;33,6;23,3;22,7;17,3;0;0;0;0;0;0;0;2,3;1
illes balears;baleares;30;17,3;31,7;15,8;0;0;0;0;0;0;0;4,6;0,8
jaen;andalucia;32,5;36,1;16,5;11,4;0;0;0;0;0;0;0;1,9;0,7
la rioja;la rioja;39,6;22,3;19,6;16,2;0;0;0;0;0;0;0;2;0,8
las palmas;canarias;29,1;21,1;28,8;13,1;0;0;0;0;4,2;0;0;2,7;0,8
leon;cyl;36,7;23,9;21,9;13,8;0;0;0;0;0;0;0;2,7;1
lleida;catalunya;11,6;11,7;15;9,6;24,5;21,9;0;0;0;0;0;4,3;1,1
lugo;galicia;43,9;22,6;18,8;8,1;0;0;0;0;0;3,6;0;1,9;1,2
madrid;madrid;34,5;16,8;25,6;20,1;0;0;0;0;0;0;0;3,2;0,5
malaga;andalucia;29,9;25,3;23,4;18,2;0;0;0;0;0;0;0;2,4;0,7
melilla;-;45,3;23,2;12,5;16,6;0;0;0;0;0;0;0;2,1;1,1
murcia;murcia;41,7;19,1;17,9;18,9;0;0;0;0;0;0;0;2,7;0,6
navarra;navarra;29,9;14,6;26,5;7,5;0;0;0;9,9;0;0;8,7;1,8;1,1
ourense;galicia;46,4;21,8;17,4;8,4;0;0;0;0;0;3,3;0;2;0,9
palencia;cyl;41,6;23,1;17,5;15,1;0;0;0;0;0;0;0;2,1;0,9
pontevedra;galicia;35,6;19,6;27,3;9,6;0;0;0;0;0;4,6;0;2,2;1
salamanca;cyl;44;20,5;15,3;18;0;0;0;0;0;0;0;2,1;1
sc de tenerife;canarias;29,8;20,3;22,6;11,2;0;0;0;0;12,6;0;0;2,6;0,7
segovia;cyl;40,7;20,3;18;18,2;0;0;0;0;0;0;0;2,6;1
sevilla;andalucia;26;32;24,2;13,9;0;0;0;0;0;0;0;2,2;0,9
soria;cyl;39,9;22,4;19,2;16,2;0;0;0;0;0;0;0;1,5;1,3
tarragona;catalunya;12,6;14,9;20,2;15,2;19,2;13,8;0;0;0;0;0;3,6;0,7
teruel;aragon;37,6;24,2;19,9;15,7;0;0;0;0;0;0;0;1,8;1,1
toledo;clm;40;26,1;16,8;14,7;0;0;0;0;0;0;0;1,9;0,6
valencia;cv;31,2;17,7;31,1;16,2;0;0;0;0;0;0;0;3,4;0,6
valladolid;cyl;38,1;20,3;20,3;18,3;0;0;0;0;0;0;0;2,9;0,8
zamora;cyl;43,9;21,6;17,4;15;0;0;0;0;0;0;0;1,6;1,1
zaragoza;aragon;31,3;21;25,2;19;0;0;0;0;0;0;0;3;0,9
